date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2020-08-21T16:58:32Z,0.813,0.734,0,-4.553,0,0.109,0.202,0.0,0.122,0.901,138.066,audio_features,6hpGvOhyC8DbiLKjsJi4qn,spotify:track:6hpGvOhyC8DbiLKjsJi4qn,https://api.spotify.com/v1/tracks/6hpGvOhyC8DbiLKjsJi4qn,https://api.spotify.com/v1/audio-analysis/6hpGvOhyC8DbiLKjsJi4qn,191067,3
2020-08-21T16:31:10Z,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486,4
2020-08-20T20:37:33Z,0.658,0.544,1,-7.384,1,0.0462,0.21,0.0,0.195,0.391,82.517,audio_features,1rtruNH8PeMYzqahfPwKcG,spotify:track:1rtruNH8PeMYzqahfPwKcG,https://api.spotify.com/v1/tracks/1rtruNH8PeMYzqahfPwKcG,https://api.spotify.com/v1/audio-analysis/1rtruNH8PeMYzqahfPwKcG,131607,4
2020-08-19T21:59:39Z,0.341,0.267,7,-12.157,1,0.0341,0.71,0.0607,0.37,0.155,171.923,audio_features,7o5Jqi69qxx6C7Glyfcam4,spotify:track:7o5Jqi69qxx6C7Glyfcam4,https://api.spotify.com/v1/tracks/7o5Jqi69qxx6C7Glyfcam4,https://api.spotify.com/v1/audio-analysis/7o5Jqi69qxx6C7Glyfcam4,215040,4
2020-08-19T21:59:02Z,0.602,0.377,4,-5.769,1,0.0296,0.662,0.0,0.11,0.485,83.854,audio_features,4UntKS7ZaOam7mTpXcnV5S,spotify:track:4UntKS7ZaOam7mTpXcnV5S,https://api.spotify.com/v1/tracks/4UntKS7ZaOam7mTpXcnV5S,https://api.spotify.com/v1/audio-analysis/4UntKS7ZaOam7mTpXcnV5S,146070,4
2020-08-19T21:45:06Z,0.7,0.494,4,-4.908,1,0.0463,0.742,0.0,0.304,0.229,132.943,audio_features,6fGSHpEipD1YjtLLChnBzW,spotify:track:6fGSHpEipD1YjtLLChnBzW,https://api.spotify.com/v1/tracks/6fGSHpEipD1YjtLLChnBzW,https://api.spotify.com/v1/audio-analysis/6fGSHpEipD1YjtLLChnBzW,176947,4
2020-08-19T21:37:53Z,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,audio_features,6wJYhPfqk3KGhHRG76WzOh,spotify:track:6wJYhPfqk3KGhHRG76WzOh,https://api.spotify.com/v1/tracks/6wJYhPfqk3KGhHRG76WzOh,https://api.spotify.com/v1/audio-analysis/6wJYhPfqk3KGhHRG76WzOh,162547,4
2020-08-18T02:05:49Z,0.603,0.488,9,-13.32,0,0.0296,0.189,0.0101,0.13,0.383,143.965,audio_features,5HrtidD8R9yGbEery5gUpR,spotify:track:5HrtidD8R9yGbEery5gUpR,https://api.spotify.com/v1/tracks/5HrtidD8R9yGbEery5gUpR,https://api.spotify.com/v1/audio-analysis/5HrtidD8R9yGbEery5gUpR,383779,4
2020-08-16T15:14:54Z,0.593,0.229,9,-8.888,1,0.0307,0.794,0.0,0.167,0.42,117.823,audio_features,13iMiwdY7pgE1f7NwYKr1D,spotify:track:13iMiwdY7pgE1f7NwYKr1D,https://api.spotify.com/v1/tracks/13iMiwdY7pgE1f7NwYKr1D,https://api.spotify.com/v1/audio-analysis/13iMiwdY7pgE1f7NwYKr1D,130546,4
2020-08-15T15:25:27Z,0.551,0.602,4,-5.451,0,0.0916,0.477,0.0,0.0899,0.191,78.018,audio_features,6tdTfkzXyuZbZBXl8k0G2C,spotify:track:6tdTfkzXyuZbZBXl8k0G2C,https://api.spotify.com/v1/tracks/6tdTfkzXyuZbZBXl8k0G2C,https://api.spotify.com/v1/audio-analysis/6tdTfkzXyuZbZBXl8k0G2C,203755,4
